rhoU,viscU,rhoL,viscL,Gamma,D,lc,Q,S,Pri,Sec,Cohen
918,0.006625,1325,0.002754,0.038,0.010795,0.00308503496092042,0.00012640283861175,0.0140462,0,1,0
918,0.006625,1325,0.002754,0.038,0.010795,0.00308503496092042,0.00020243462128659,0.0164846,0,1,0
950,0.0265,1325,0.00285,0.038,0.010795,0.00321396883163116,0.00010121731061175,0.0129286,0,1,0
950,0.0265,1325,0.00285,0.038,0.010795,0.00321396883163116,4.799506281507e-05,0.012065,0,1,0
950,0.0265,1325,0.00285,0.038,0.010795,0.00321396883163116,0.00014541078428046,0.0147066,0,1,0
950,0.0265,1325,0.00285,0.038,0.010795,0.00321396883163116,0.00019388104570728,0.0162052,0,1,0
950,0.0265,1325,0.00285,0.038,0.010795,0.00321396883163116,0.00023284733433129,0.017018,0,1,0
950,0.0265,1325,0.00285,0.038,0.010795,0.00321396883163116,0.00016774512048378,0.0154686,0,1,0
950,0.0265,1325,0.00285,0.038,0.010795,0.00321396883163116,0.00011642366719719,0.0135382,0,1,0
850,0.048,1000,0.001,0.034,0.0016,0.00480683622373607,2.2178096e-08,0.0009515148,0,0,1
850,0.048,1000,0.001,0.034,0.0016,0.00480683622373607,1.2294993e-07,0.00158974526,0,0,1
850,0.048,1000,0.001,0.034,0.0016,0.00480683622373607,2.17578112e-07,0.00190651278,0,0,1
850,0.048,1000,0.001,0.034,0.0016,0.00480683622373607,3.67215066e-07,0.00221451994,0,0,1
850,0.048,1000,0.001,0.034,0.0016,0.00480683622373607,5.63408952e-07,0.00254457806,0,0,1
850,0.048,1000,0.001,0.034,0.0016,0.00480683622373607,8.44135765e-07,0.00289280992,0,0,1
850,0.048,1000,0.001,0.034,0.0016,0.00480683622373607,1.265017012e-06,0.00321964249,0,0,1
850,0.048,1000,0.001,0.034,0.0016,0.00480683622373607,1.723558981e-06,0.00350738569,0,0,1
850,0.048,1000,0.001,0.034,0.0016,0.00480683622373607,2.238634984e-06,0.00386117808,0,0,1
